,occ_brazil,occ_canada,occ_france,occ_germany,occ_italy,occ_mexico,occ_peru,occ_spain,occ_sweden,occ_usa,occ_count_tokens_overall,freq_brazil,tf_idf_brazil,freq_canada,tf_idf_canada,freq_france,tf_idf_france,freq_germany,tf_idf_germany,freq_italy,tf_idf_italy,freq_mexico,tf_idf_mexico,freq_peru,tf_idf_peru,freq_spain,tf_idf_spain,freq_sweden,tf_idf_sweden,freq_usa,tf_idf_usa
thriving,1,0,1,0,0,1,1,1,0,0,5,9.073586788857636e-05,3.1070019129135856e-05,0.0,0.0,7.190623427051126e-05,2.462232550673807e-05,0.0,0.0,0.0,0.0,5.407159078620093e-05,1.8515339073332232e-05,0.0005473453749315818,0.00018742347061970787,7.464914899970141e-05,2.5561561721574075e-05,0.0,0.0,0.0,0.0
throat,1,0,1,0,0,0,0,0,0,0,2,9.073586788857636e-05,6.71774511835808e-05,0.0,0.0,7.190623427051126e-05,5.3236692995918886e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
throb,1,0,0,0,0,0,0,1,0,0,2,9.073586788857636e-05,6.71774511835808e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.464914899970141e-05,5.526744472187548e-05,0.0,0.0,0.0,0.0
throne,0,0,2,0,0,0,0,2,0,0,4,0.0,0.0,0.0,0.0,0.00014381246854102252,6.318151921050733e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014929829799940282,6.559162344435094e-05,0.0,0.0,0.0,0.0
throng,0,1,1,0,3,0,0,2,1,0,8,0.0,0.0,0.00024838549428713363,3.435238404527607e-05,7.190623427051126e-05,9.944826214588443e-06,0.0,0.0,0.0005447612130016343,7.53419456144624e-05,0.0,0.0,0.0,0.0,0.00014929829799940282,2.064835744495095e-05,0.0001289490651192779,1.7834003632015664e-05,0.0,0.0
throughout,6,1,6,3,3,15,1,10,2,0,47,0.0005444152073314581,-0.0003433654874026816,0.00024838549428713363,-0.00015665801608978947,0.00043143740562306753,-0.00027210980345616985,0.0003992015968063872,-0.0002517785120868233,0.0005447612130016343,-0.0003435837149686721,0.000811073861793014,-0.0005115484801374708,0.0005473453749315818,-0.0003452135592651847,0.000746491489997014,-0.00047081604417549447,0.0002578981302385558,-0.00016265768479110056,0.0,-0.0
throw,3,0,3,1,1,2,0,3,1,0,14,0.00027220760366572906,-2.8509758784142907e-05,0.0,-0.0,0.00021571870281153377,-2.2593373952688502e-05,0.0001330671989354624,-1.3936839723221955e-05,0.00018158707100054475,-1.9018585531144542e-05,0.00010814318157240186,-1.132641402833492e-05,0.0,-0.0,0.0002239474469991042,-2.345521435951321e-05,0.0001289490651192779,-1.3505525534495552e-05,0.0,-0.0
thrust,0,1,1,0,0,2,1,1,2,0,8,0.0,0.0,0.00024838549428713363,3.435238404527607e-05,7.190623427051126e-05,9.944826214588443e-06,0.0,0.0,0.0,0.0,0.00010814318157240186,1.4956493799749267e-05,0.0005473453749315818,7.569934218187273e-05,7.464914899970141e-05,1.0324178722475475e-05,0.0002578981302385558,3.566800726403133e-05,0.0,0.0
thumb,1,0,0,0,0,0,0,0,0,1,2,9.073586788857636e-05,6.71774511835808e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005361930294906167,0.00039697731340173937
thunder,0,0,1,0,0,1,0,1,1,0,4,0.0,0.0,0.0,0.0,7.190623427051126e-05,3.1590759605253664e-05,0.0,0.0,0.0,0.0,5.407159078620093e-05,2.3755417639789263e-05,0.0,0.0,7.464914899970141e-05,3.279581172217547e-05,0.0001289490651192779,5.665154014574631e-05,0.0,0.0
